PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
54,00,0,327,100,5199.0,495,1124,0.440391,2,9,0.222222,396,641,0.617784,423,764,1187,305,91,60,368,593,1388
78157,00,0,217,,3980.0,764,1890,0.404232,0,2,,304,420,0.723809,142,303,445,479,189,17,238,250,1832
1630285,00,0,4,4,174.0,19,52,0.365384,1,8,0.125,5,5,1.0,2,19,21,30,5,4,10,15,44
1591,00,0,4,0,25.0,4,10,0.4,1,1,1.0,2,5,0.4,3,1,4,5,2,0,6,2,11
78160,00,0,65,,1345.0,193,491,0.393075,,,,123,216,0.569444,,,183,154,,,,187,509
201235,00,0,5,0,24.0,3,7,0.428571,0,0,0.0,0,0,0.0,3,3,6,1,0,0,1,3,6
78159,00,0,4,,12.0,2,5,0.4,,,,0,0,0.0,,,4,0,,,,4,4
203156,00,0,135,61,2541.0,403,856,0.470794,4,23,0.173913,221,288,0.767361,248,422,670,140,76,64,153,289,1031
1630579,00,0,128,31,1828.0,157,208,0.754807,0,1,0.0,37,65,0.56923,207,320,527,67,31,65,59,195,351
78161,00,0,12,,95.0,10,26,0.384615,,,,10,15,0.666666,5,8,13,20,3,0,19,16,30
202713,00,0,356,172,7795.0,843,2015,0.418362,299,826,0.361985,341,434,0.785714,317,709,1026,272,203,110,278,734,2326
201606,00,0,37,2,303.0,31,85,0.364705,10,25,0.4,18,21,0.857142,10,25,35,29,11,0,23,45,90
202698,00,0,148,62,2605.0,233,620,0.375806,58,182,0.318681,88,139,0.633093,112,360,472,92,117,57,100,325,612
101189,00,0,243,19,3254.0,362,783,0.462324,35,120,0.291666,195,234,0.833333,321,589,910,109,97,117,140,390,954
78162,00,0,2,0,10.0,2,3,0.666666,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,4
78163,00,0,12,,68.0,5,20,0.25,,,,3,8,0.375,,,2,3,,,,10,13
1629686,00,0,23,0,160.0,15,50,0.3,11,35,0.314285,3,6,0.5,0,35,35,6,5,1,5,13,44
78164,00,0,43,0,304.0,39,94,0.414893,0,2,0.0,13,25,0.52,24,36,60,26,7,6,19,50,91
203491,00,0,24,0,224.0,18,57,0.315789,7,25,0.28,11,15,0.733333,2,12,14,34,9,1,18,27,54
101,00,0,600,371,16789.0,2290,5259,0.435444,524,1381,0.379435,1548,1741,0.889144,275,1251,1526,3881,500,29,1497,1343,6652
78167,00,0,203,,4460.0,696,1591,0.43746,0,0,,492,609,0.807881,206,467,673,526,208,76,235,636,1884
1730,00,0,608,197,10912.0,1194,2419,0.493592,2,6,0.333333,486,858,0.566433,919,1922,2841,288,256,532,519,1270,2876
78168,00,0,145,,2798.0,274,632,0.433544,,,,112,177,0.632768,224,384,608,152,99,24,,277,660
78169,00,0,341,,9193.0,1164,3000,0.388,,,,472,591,0.798646,,,1133,903,,,,1027,2800
78170,00,0,3,,20.0,2,5,0.4,,,,0,1,0.0,,,7,0,,,,3,4
1073,00,0,259,44,3511.0,502,1037,0.484088,0,2,0.0,446,709,0.629055,336,432,768,145,91,56,244,503,1450
78171,00,0,28,,525.0,53,165,0.321212,,,,41,68,0.602941,,,148,25,,,,81,147
78172,00,0,63,1,515.0,89,238,0.373949,9,41,0.219512,38,59,0.644067,34,34,68,52,36,7,42,93,225
1641771,00,0,5,0,19.0,2,3,0.666666,0,1,0.0,0,0,0.0,0,4,4,2,0,1,2,3,4
2447,00,0,66,0,515.0,73,202,0.361386,13,49,0.265306,14,26,0.538461,24,46,70,31,26,4,39,71,173
202388,00,0,218,66,3749.0,449,1098,0.408925,98,316,0.310126,193,256,0.753906,54,401,455,651,83,8,230,193,1189
78173,00,0,755,,25750.0,4116,9646,0.426705,,,,2339,3239,0.722136,367,843,5615,1925,381,32,,2700,10571
101166,00,0,20,0,72.0,14,26,0.538461,1,2,0.5,9,13,0.692307,7,7,14,1,1,2,9,11,38
78174,00,0,31,0,151.0,30,58,0.517241,0,2,0.0,13,21,0.619047,5,7,12,16,3,0,11,18,73
1629346,00,0,29,1,223.0,31,67,0.462686,7,23,0.304347,18,25,0.72,16,27,43,17,6,9,16,25,87
1630606,00,0,18,1,201.0,19,60,0.316666,8,27,0.296296,5,6,0.833333,5,19,24,16,6,3,11,12,51
78175,00,0,2,0,12.0,0,2,0.0,0,1,0.0,2,2,1.0,0,1,1,2,0,0,2,0,2
203935,00,0,601,380,18046.0,2167,5586,0.387934,953,2953,0.322722,1143,1472,0.776494,487,1623,2110,2786,955,219,1144,1558,6430
78176,00,0,261,,0.0,1229,3544,0.346783,,,,858,1076,0.797397,,,196,595,,,,584,3316
78177,00,0,118,,,239,935,0.255614,,,,248,365,0.679452,,,,299,,,,395,726
78178,00,0,719,,18324.0,3087,7194,0.429107,,,,2308,2762,0.835626,,,1580,1698,,,,1740,8482
78207,00,0,30,,491.0,81,188,0.430851,,,,43,72,0.597222,,,143,20,,,,81,205
78209,00,0,9,,83.0,8,33,0.242424,,,,7,8,0.875,,,16,7,,,,6,23
78202,00,0,865,,22407.0,4776,10642,0.448787,23,81,,1307,1637,0.798411,653,1519,3630,1734,431,167,237,2059,10882
78203,00,0,13,,137.0,13,55,0.236363,,,,11,16,0.6875,,,33,14,,,,11,37
293,00,0,564,419,16377.0,2993,6300,0.475079,18,93,0.193548,2103,2718,0.77373,1192,2054,3246,798,462,789,1036,1945,8107
1520,00,0,142,36,1976.0,297,726,0.40909,72,250,0.288,63,104,0.605769,57,143,200,124,87,70,111,204,729
78179,00,0,73,0,588.0,65,150,0.433333,0,10,0.0,56,83,0.674698,14,62,76,115,37,3,44,89,186
1814,00,0,224,39,3956.0,425,976,0.43545,59,161,0.366459,231,324,0.712962,61,230,291,627,118,56,219,346,1140
203147,00,0,2,0,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
78181,00,0,46,0,386.0,52,121,0.429752,0,2,0.0,30,42,0.714285,28,32,60,49,14,1,27,39,134
200783,00,0,403,49,6826.0,1221,2207,0.553239,1,27,0.037037,637,963,0.661474,543,1024,1567,322,183,91,413,957,3080
78182,00,0,48,,,32,119,0.268907,,,,9,21,0.428571,,,,6,,,,47,73
